eye02.occupancy,eye03.occupancy,eye04.occupancy,eye05.occupancy,eye09.occupancy,eye11.occupancy,eye.humidity.mean,eye.humidity.std,eye.humidity.median,eye.humidity.min,eye.humidity.max,eye.humidity.iqr,eye.light.mean,eye.light.std,eye.light.median,eye.light.min,eye.light.max,eye.light.iqr,eye.motion.mean,eye.motion.std,eye.motion.median,eye.motion.min,eye.motion.max,eye.motion.iqr,eye.temperature.mean,eye.temperature.std,eye.temperature.median,eye.temperature.min,eye.temperature.max,eye.temperature.iqr,gas.humidity.mean,gas.humidity.std,gas.humidity.median,gas.humidity.min,gas.humidity.max,gas.humidity.iqr,gas.light.mean,gas.light.std,gas.light.median,gas.light.min,gas.light.max,gas.light.iqr,gas.motion.mean,gas.motion.std,gas.motion.median,gas.motion.min,gas.motion.max,gas.motion.iqr,gas.temperature.mean,gas.temperature.std,gas.temperature.median,gas.temperature.min,gas.temperature.max,gas.temperature.iqr,voc.humidity.mean,voc.humidity.std,voc.humidity.median,voc.humidity.min,voc.humidity.max,voc.humidity.iqr,voc.light.mean,voc.light.std,voc.light.median,voc.light.min,voc.light.max,voc.light.iqr,voc.motion.mean,voc.motion.std,voc.motion.median,voc.motion.min,voc.motion.max,voc.motion.iqr,voc.temperature.mean,voc.temperature.std,voc.temperature.median,voc.temperature.min,voc.temperature.max,voc.temperature.iqr,gas.co2.mean,gas.co2.std,gas.co2.median,gas.co2.max,gas.co2.min,gas.co2.iqr,voc.tvoc.mean,voc.tvoc.std,voc.tvoc.median,voc.tvoc.max,voc.tvoc.min,voc.tvoc.iqr
1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,26.0,26.0,26.0,26.0,26.0,26.0,6.0,6.0,6.0,6.0,6.0,6.0,1.22,1.22,1.22,1.22,1.22,1.22,2.5,2.5,2.5,2.5,2.5,2.5,49.25,49.25,49.25,49.25,49.25,49.25,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.43,0.43,2.0,2.0,2.0,2.0,2.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,468.33,42.81,473.0,534.0,421.0,51.75,132.0,39.99,119.0,201.0,99.0,15.0
1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,15.5,15.5,15.5,15.5,15.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,1.15,1.15,1.15,1.15,3.25,3.25,3.25,3.25,3.25,3.25,76.0,76.0,76.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,466.5,39.41,465.5,519.0,414.0,51.0,136.8,42.49,134.0,207.0,103.0,34.0
1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,35.0,35.0,35.0,35.0,35.0,35.0,0.75,0.75,0.75,0.75,0.75,0.75,1.12,1.12,1.12,1.12,1.12,1.12,3.25,3.25,3.25,3.25,3.25,3.25,63.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.52,0.52,0.52,0.52,2.0,2.0,2.0,2.0,2.0,2.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,464.5,34.27,467.0,520.0,424.0,34.25,139.6,37.59,132.0,204.0,106.0,10.0
1.0,0.0,1.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,60.0,60.0,60.0,60.0,60.0,60.0,2.25,2.25,2.25,2.25,2.25,2.25,1.23,1.23,1.23,1.23,1.23,1.23,3.25,3.25,3.25,3.25,3.25,3.25,56.25,56.25,56.25,56.25,56.25,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,41.0,41.0,41.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,456.83,33.8,450.5,517.0,419.0,25.75,140.6,41.58,135.0,209.0,106.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,57.75,57.75,57.75,57.75,57.75,57.75,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,1.2,3.5,3.5,3.5,3.5,3.5,3.5,83.25,83.25,83.25,83.25,83.25,83.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,41.0,41.0,41.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,458.33,42.67,454.0,530.0,415.0,45.75,144.2,37.67,136.0,209.0,113.0,15.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,69.5,69.5,69.5,69.5,69.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,1.15,1.15,1.15,1.15,3.25,3.25,3.25,3.25,3.25,3.25,89.5,89.5,89.5,89.5,89.5,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,464.33,39.42,466.5,532.0,421.0,32.75,141.2,42.12,132.0,212.0,105.0,27.0
1.0,0.0,1.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,64.75,64.75,64.75,64.75,64.75,64.75,1.5,1.5,1.5,1.5,1.5,1.5,1.23,1.23,1.23,1.23,1.23,1.23,3.25,3.25,3.25,3.25,3.25,3.25,98.75,98.75,98.75,98.75,98.75,98.75,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.52,0.52,0.52,0.52,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,456.5,35.61,450.0,519.0,420.0,34.0,149.2,33.77,135.0,207.0,123.0,19.0
1.0,0.0,1.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,74.0,74.0,74.0,74.0,74.0,74.0,3.0,3.0,3.0,3.0,3.0,3.0,1.08,1.08,1.08,1.08,1.08,1.08,3.25,3.25,3.25,3.25,3.25,3.25,99.25,99.25,99.25,99.25,99.25,99.25,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.43,0.43,1.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,457.33,30.36,464.5,497.0,415.0,36.5,148.0,31.93,138.0,201.0,116.0,13.0
0.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,76.75,76.75,76.75,76.75,76.75,76.75,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.93,0.93,0.93,0.93,4.0,4.0,4.0,4.0,4.0,4.0,98.5,98.5,98.5,98.5,98.5,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.43,0.43,1.0,1.0,1.0,1.0,1.0,1.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,451.67,24.91,447.0,485.0,422.0,36.25,149.8,42.1,137.0,222.0,112.0,10.0
1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,84.0,84.0,84.0,84.0,84.0,84.0,3.0,3.0,3.0,3.0,3.0,3.0,0.95,0.95,0.95,0.95,0.95,0.95,4.0,4.0,4.0,4.0,4.0,4.0,62.75,62.75,62.75,62.75,62.75,62.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,471.83,52.46,464.0,566.0,421.0,45.5,150.6,35.56,142.0,211.0,117.0,9.0
